event_id,title,category,date,latitude,longitude,source
EONET_21446,Wildfire in Australia 1029513,Wildfires,2026-07-21 19:00:00+00:00,-13.081548416514,136.43887685066,NASA_EONET
EONET_21437,Tropical Storm Bertha,Severe Storms,2026-07-21 00:00:00+00:00,28.5,-86.0,NASA_EONET
EONET_21403,"Wildfire Big Gulch, Moffat, Colorado",Wildfires,2026-07-19 21:36:00+00:00,40.681667,-107.671833,NASA_EONET
EONET_21440,Flood in Latvia 1104037,Floods,2026-07-19 20:00:00+00:00,0.0,0.0,NASA_EONET
EONET_21447,Wildfire in The Democratic Republic of Congo 1029514,Wildfires,2026-07-19 19:00:00+00:00,-8.7361621878621,24.598765796499,NASA_EONET
EONET_21448,Wildfire in Kazakhstan 1029515,Wildfires,2026-07-19 19:00:00+00:00,46.169160271516,80.535281016072,NASA_EONET
EONET_21449,Wildfire in Brazil 1029516,Wildfires,2026-07-19 19:00:00+00:00,-10.710160976875,-50.337455570201,NASA_EONET
EONET_21450,Wildfire in Australia 1029517,Wildfires,2026-07-19 19:00:00+00:00,-17.653829119552,138.65175212858,NASA_EONET
EONET_21451,Wildfire in Australia 1029518,Wildfires,2026-07-19 19:00:00+00:00,-13.118041681163,135.73285376715,NASA_EONET
EONET_21399,Hurricane Fausto,Severe Storms,2026-07-19 18:00:00+00:00,12.2,-112.1,NASA_EONET
EONET_21438,Flood in Afghanistan 1104033,Floods,2026-07-18 20:00:00+00:00,0.0,0.0,NASA_EONET
EONET_21441,Flood in Moldova 1104038,Floods,2026-07-18 20:00:00+00:00,0.0,0.0,NASA_EONET
EONET_21442,Flood in Romania 1104039,Floods,2026-07-18 20:00:00+00:00,0.0,0.0,NASA_EONET
EONET_21443,Flood in Costa Rica 1104040,Floods,2026-07-18 20:00:00+00:00,0.0,0.0,NASA_EONET
EONET_21444,Flood in Peru 1104041,Floods,2026-07-18 20:00:00+00:00,0.0,0.0,NASA_EONET
EONET_21445,Flood in Bulgaria 1104036,Floods,2026-07-18 20:00:00+00:00,0.0,0.0,NASA_EONET
EONET_21424,"Wildfire Grassy Hills, Owyhee, Idaho",Wildfires,2026-07-18 19:25:00+00:00,42.241983,-115.131133,NASA_EONET
EONET_21421,"Wildfire BROOK, Shasta, California",Wildfires,2026-07-18 19:12:00+00:00,40.698456,-122.197625,NASA_EONET
EONET_21452,Wildfire in The Democratic Republic of Congo 1029521,Wildfires,2026-07-18 19:00:00+00:00,-6.1724640726788,18.717779381885,NASA_EONET
EONET_21453,Wildfire in Algeria 1029519,Wildfires,2026-07-18 19:00:00+00:00,35.222483198869,0.34646139771137,NASA_EONET
EONET_21454,Wildfire in Angola 1029522,Wildfires,2026-07-18 19:00:00+00:00,-8.2657593900506,19.844834316527,NASA_EONET
EONET_21455,Wildfire in Angola 1029527,Wildfires,2026-07-18 19:00:00+00:00,-10.005804955642,21.329968621872,NASA_EONET
EONET_21456,Wildfire in Botswana 1029528,Wildfires,2026-07-18 19:00:00+00:00,-23.796475835779,23.943265355467,NASA_EONET
EONET_21457,Wildfire in Australia 1029520,Wildfires,2026-07-18 19:00:00+00:00,-16.098756352885,136.94825062382,NASA_EONET
EONET_21458,Wildfire in Russian Federation 1029523,Wildfires,2026-07-18 19:00:00+00:00,66.774892404025,164.48102188473,NASA_EONET
EONET_21459,Wildfire in The Democratic Republic of Congo 1029524,Wildfires,2026-07-18 19:00:00+00:00,-9.3414769193086,21.851043862609,NASA_EONET
EONET_21460,Wildfire in Algeria 1029525,Wildfires,2026-07-18 19:00:00+00:00,36.804778379684,7.2392503409187,NASA_EONET
EONET_21461,Wildfire in Australia 1029526,Wildfires,2026-07-18 19:00:00+00:00,-17.760740698834,138.62125324554,NASA_EONET
EONET_21462,Wildfire in Algeria 1029529,Wildfires,2026-07-18 19:00:00+00:00,36.159043558524,3.8707891164095,NASA_EONET
EONET_21463,Wildfire in Australia 1029530,Wildfires,2026-07-18 19:00:00+00:00,-16.695659930516,128.28627488829,NASA_EONET
EONET_21404,"Wildfire Horse Island, Berkeley, South Carolina",Wildfires,2026-07-18 17:43:00+00:00,33.188917,-79.662533,NASA_EONET
EONET_21402,"Wildfire Ohio, Blaine, Idaho",Wildfires,2026-07-18 15:52:00+00:00,43.588417,-114.31795,NASA_EONET
EONET_21420,"Wildfire BISCAR, Lassen, California",Wildfires,2026-07-18 14:11:00+00:00,40.618167,-120.303833,NASA_EONET
EONET_21416,"Wildfire 0512 BOX SPRINGS, Jefferson, Oregon",Wildfires,2026-07-17 21:13:00+00:00,44.635333,-120.4985,NASA_EONET
EONET_21398,Flood in South Korea 1104032,Floods,2026-07-17 20:00:00+00:00,0.0,0.0,NASA_EONET
EONET_21433,"Wildfire WALLACE WALKER, Franklin, Washington",Wildfires,2026-07-17 19:33:00+00:00,46.576482,-118.567968,NASA_EONET
EONET_21426,"Wildfire DEVIL&#039;S CANYON, Franklin, Washington",Wildfires,2026-07-17 19:31:00+00:00,46.600003,-118.548791,NASA_EONET
EONET_21435,"Wildfire Sailor, Elmore, Idaho",Wildfires,2026-07-17 19:21:00+00:00,42.842667,-115.450333,NASA_EONET
EONET_21415,"Wildfire BERGER (50), Palm Beach, Florida",Wildfires,2026-07-17 19:18:00+00:00,26.4466667,-80.8444444,NASA_EONET
EONET_21464,Wildfire in The Democratic Republic of Congo 1029544,Wildfires,2026-07-17 19:00:00+00:00,-6.3869787976789,19.758620796814,NASA_EONET
EONET_21465,Wildfire in The Democratic Republic of Congo 1029595,Wildfires,2026-07-17 19:00:00+00:00,-6.0624628026908,18.565367969796,NASA_EONET
EONET_21466,Wildfire in Botswana 1029596,Wildfires,2026-07-17 19:00:00+00:00,-25.052912342774,24.031914304819,NASA_EONET
EONET_21467,Wildfire in The Democratic Republic of Congo 1029535,Wildfires,2026-07-17 19:00:00+00:00,-8.2990722010545,26.148267355905,NASA_EONET
EONET_21468,Wildfire in Angola 1029538,Wildfires,2026-07-17 19:00:00+00:00,-8.0740670273907,20.174921166606,NASA_EONET
EONET_21469,Wildfire in Kazakhstan 1029541,Wildfires,2026-07-17 19:00:00+00:00,47.163724703043,80.349614823485,NASA_EONET
